ticker,cik
NVDA,1045810
GOOGL,1652044
AAPL,320193
MSFT,789019
AMZN,1018724
META,1326801
AVGO,1730168
TSLA,1318605
BRK-B,1067983
WMT,104169
LLY,59478
JPM,19617
SPY,884394
V,1403161
XOM,34088
ASML,937966
JNJ,200406
ORCL,1341439
MA,1141391
MU,723125
COST,909832
BABA,1577552
AMD,2488
ABBV,1551152
PLTR,1321655
BAC,70858
HD,354950
NFLX,1065280
PG,80424
CVX,93410
KO,21344
GE,40545
CSCO,858877
HSBC,1089113
LRCX,707549
CAT,18230
AZN,901832
TM,1094517
NVS,1114448
MS,895421
GS,886982
NVO,353278
WFC,72971
PM,1413329
IBM,51143
CYATY,2070829
SAP,1000184
RTX,101829
MRK,310158
AMAT,6951
UNH,731766
AXP,4962
QQQ,1067839
RY,1000275
TMO,97745
MCD,63908
INTC,50863
CRM,1108524
SHEL,1306965
KLAC,319201
LIN,1707925
MUFG,67088
TMUS,1283699
C,831001
PEP,77476
APH,820313
DIS,1744489
SAN,891478
BA,12927
GEV,1996810
SCHW,316709
AMGN,318154
ISRG,1035267
ABT,1800
RIO,863064
ANET,1596532
APP,1751008
BX,1393818
NEE,753308
BHP,811809
SHOP,1594805
TXN,97476
GILD,882095
BLK,2012383
ACN,1467373
UBER,1543151
DHR,313616
RTNTF,887028
BKNG,1075531
HDB,1144967
VZ,732712
TJX,109198
T,732717
QCOM,804328
DTEGY,946770
TD,947263
SPGI,64040
SCCO,1001838
UBS,1610520
TTE,879764
LOW,60667
INTU,896878
PDD,1737806
HTHIY,47710
PFE,78003
ADI,6281
HON,773840
BBVA,842180
UL,217410
DE,315189
NEM,1164727
NOW,1373715
LMT,936468
BSX,885725
COF,927628
UNP,100885
SMFG,1022837
BUD,1668717
SONY,313838
SYK,310764
ETN,1551182
BTI,1303523
UTX,2046954
MDT,1613103
IBKR,1381197
WELL,766704
PANW,1327567
COP,1163165
ADBE,796343
GLD,1222333
ARM,1973239
PGR,80661
VRTX,875320
CB,896159
CRWD,1535527
PLD,1045609
ATEYY,1158838
HCA,860730
PH,76334
MELI,1099590
SNY,1121404
CMCSA,1166691
BMY,14272
SBUX,829224
AEM,2809
KKR,1404912
MFG,1335730
MO,764180
BN,1001085
IBN,1103838
SPOT,1639920
ENB,895728
CEG,1868275
MCK,927653
CVNA,1690820
ADP,8670
GSK,1131399
CME,1156375
ICE,1571949
BMO,927971
GD,40533
SO,92122
NOC,1133421
PBR,1119639
ITUB,1132597
BP,313807
SNPS,883241
BNS,9631
HOOD,1783879
IAU,1278680
GLW,24741
BCS,312069
DUK,1326160
NKE,320187
WM,823768
MCO,1059556
CVS,64803
UPS,1090727
PNC,713676
FCX,831259
NU,1691493
DASH,1792789
B,756894
MRSH,62709
USB,36104
TT,1466258
ING,1039765
CM,1045520
HWM,4281
CDNS,813672
WDC,106040
SHW,89800
LYG,1160106
MAR,1048286
ORLY,898173
NTES,1110646
AMT,1053507
MMM,66740
NGG,1004315
MGCLY,2039784
BAM,1937926
EMR,32604
BK,1390777
CRH,849395
BAESY,895564
GM,1467858
REGN,872589
ABNB,1559720
STX,1137789
ECL,31462
TDG,1260221
WMB,107263
CMI,26172
MNST,865752
EQIX,1101239
RCL,884887
DB,1159508
DELL,1571996
CTAS,723254
APO,1858681
CNQ,1017413
MDLZ,1103982
SLB,87347
ITW,49826
SE,1703399
INFY,1067491
FDX,1048911
NWG,844150
SNOW,1640147
ELV,1156039
VRT,1674101
NET,1477333
CI,1739940
EPD,1061219
JCI,833444
MRVL,1835632
PWR,1050915
AON,315293
ATVK,1530185
SNDK,2023554
CSX,277948
VALE,917851
HLT,1585689
SPG,1063761
WBD,1437107
RELX,929869
CL,21665
COR,1140859
WPM,1323404
TEL,1385157
RSG,1060391
MSI,68505
LHX,202058
CP,16875
KXIAY,2053383
IFNNY,1107457
KMI,1506307
EQNR,1140625
TFC,92230
NSC,702165
AEP,4904
BMWKY,1446250
AMX,1129137
AZO,866787
PCAR,75362
SU,311337
CNI,16868
MFC,1086888
TRV,86312
FTNT,1262039
CSLLY,1274152
AJG,354190
ET,1276187
E,1002242
ROST,745732
RACE,1648416
TRP,1232384
EOG,821189
RKT,1805284
LSEGY,1842726
URI,1067701
BDX,10795
AFL,4977
NXPI,1413447
APD,2969
DLR,1297996
COIN,1679788
SRE,1032208
ADSK,769397
VLO,1035002
MPLX,1552000
PSX,1534701
NDAQ,1120193
TAK,1395064
O,726728
BKR,1701605
VST,1692819
IDXX,874716
F,37996
EONGY,1136808
ZTS,1555280
BIDU,1329099
AU,1973832
CCJ,1009001
CRWV,1769628
TRI,1075124
ARGX,1697862
CMG,1058090
BSBR,1471055
PYPL,1633917
MPWR,1280452
IMO,49938
D,715957
MPC,1510295
AED,2057673
ALL,899051
EA,712515
MET,1099219
AME,1037868
CAH,721371
GFI,1172724
FNV,1456346
RBLX,1315098
GWW,277135
CBRE,1138118
FERG,2011641
FAST,815556
WDAY,1327811
FER,1468522
CTVA,1755672
DEO,835403
EW,1099800
OKE,1039684
ARES,1176948
PSA,1393311
CARR,1783180
AXON,1069183
DDOG,1561550
PTCAY,1547873
GBTC,1588489
TGT,27419
ROK,1024478
HEI,46619
AMP,820027
ALNY,1178670
MSTR,1050446
RKLB,1819994
HLN,1900304
KGC,701818
FANG,1539838
TTWO,946581
EXC,1109357
GALDY,2021390
LNG,3570
XEL,72903
MSCI,1408198
ABEV,1565025
OXY,797468
BBD,1160330
ASX,1122411
WCN,1318220
JD,1549802
EBAY,1065088
NUGN,1593549
DHI,882184
DAL,27904
ETR,65984
GWLIF,850918
YUM,1041061
SCMWY,1069336
MT,1243429
TRGP,1389170
EL,1001250
CCEP,1650107
LVS,1300514
PUK,1116578
CTSH,1058290
KR,56873
IQV,1478242
AIG,5272
FIX,1035983
ASTS,1780312
TCOM,1269238
MCHP,827054
SYY,96021
PEG,788784
ALC,1167379
DIA,1041130
ROP,882835
NUE,73309
WAB,943452
VMC,1396009
GRMN,1121788
TYHOY,2018139
XYZ,1512673
NOK,924613
MLM,916076
CPRT,900075
HMC,715153
HSY,47111
A,1090872
MDLN,2046386
CLS,1030894
ED,1047862
TER,97210
CCI,1051470
PRU,1137774
CUK,1125259
CCL,815097
PAYX,723531
KDP,1418135
KEYS,1601046
TEVA,818686
RMD,943819
ONC,1651308
RDDT,1713445
FMX,1061736
FICO,814547
ERIC,717826
FRFHF,915191
CVE,1475260
GEHC,1932393
CPNG,1834584
ODFL,878927
APC,2080921
HIG,874766
SATS,1415404
FISV,798354
WEC,783325
KB,1445930
VEEV,1393052
BE,1664703
RYAAY,1038683
VTR,740260
STT,93751
OTIS,1781335
TEAM,1650372
MDY,936958
ZS,1713683
SLF,1097362
SYM,1837240
ACGL,947484
CIEN,936395
SLV,1330568
INSM,1104506
IR,1699150
NTR,1725964
XYL,1524472
LYV,1335258
WDS,844551
MTB,36270
VOD,839923
EQT,33213
ESLT,1027664
IX,1070304
UAL,100517
COHR,820318
CHLSY,1885110
